Gene,Diplotype,Phenotype_CPIC_Format,Phenotype_Simplified,Phenotype_Category,Activity_Score,EHR_Priority
CYP2B6,*1/*40,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*41,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*42,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*43,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*5,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*1/*6,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*7,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*8,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*9,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*10/*10,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*11,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*12,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*13,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*14,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*17,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*18,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*19,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*20,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*26,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*28,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*29,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*30,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*31,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*32,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*34,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*36,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*37,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*38,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*39,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*40,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*41,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*42,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*43,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*10/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*11,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*12,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*13,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*14,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*17,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*18,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*19,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*20,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*26,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*28,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*29,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*30,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*31,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*32,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*34,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*36,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*37,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*38,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*39,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*40,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*41,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*42,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*43,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*11/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*12,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*13,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*14,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*17,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*12/*18,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*19,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*20,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*26,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*28,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*29,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*30,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*31,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*12/*32,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*12/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*34,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*36,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*37,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*38,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*39,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*40,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*41,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*42,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*43,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*12/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*12/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*13,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*14,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*17,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*13/*18,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*19,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*20,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*26,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*28,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*29,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*30,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*31,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*13/*32,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*13/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*34,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*36,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*37,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*38,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*39,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*40,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*41,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*42,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*43,CYP2B6 Poor Metabolizer,Poor Metabolizer,Poor,,Abnormal/Priority/High Risk
CYP2B6,*13/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*13/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*14,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*17,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*18,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*19,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*20,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*26,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*28,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*29,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*30,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*31,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*32,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*34,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*36,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*37,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*38,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*39,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*40,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*41,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*42,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*43,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*14/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*17,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*18,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*19,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*20,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*26,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*28,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*29,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*30,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*31,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*32,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*34,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*36,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*37,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*38,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*39,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*40,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*41,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*42,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*43,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*44,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*45,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*46,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*47,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*48,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*15/*49,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*17,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*17/*18,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*19,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*20,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*26,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*17/*28,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*29,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*30,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*17/*31,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
